question_pt,options_json,correct_answer,explanation_pt,source
Você precisa pedir mais detalhes sobre o erro relatado pelo cliente.,"[""Could you please provide more details about the error you are seeing?"", ""Could you please provide more details about the error you are looking?"", ""Can you please send more informations about the error?"", ""Please provide me more details of the error you are seeing?""]",Could you please provide more details about the error you are seeing?,"A opção correta usa 'provide more details' e 'the error you are seeing', que soa natural e profissional.",csv:request-info
Você precisa pedir um exemplo de relatório afetado.,"[""Could you please provide an example of an affected report?"", ""Could you please provide an example from an affected report?"", ""Can you provide one affected report example for me?"", ""Could you please provide a report affected example?""]",Could you please provide an example of an affected report?,A frase correta é direta e natural. 'Affected report' funciona como substantivo composto.,csv:request-info
Você precisa pedir um print da mensagem de erro.,"[""Could you please share a screenshot of the error message?"", ""Could you please share a print of the error message?"", ""Can you send a screenshot from the error message?"", ""Could you please send the error message print?""]",Could you please share a screenshot of the error message?,"Em inglês profissional, usamos 'screenshot', não 'print'.",csv:request-info
Você precisa pedir permissão para testar como o usuário afetado.,"[""Could you please confirm whether we have your permission to test as the affected user?"", ""Could you please confirm if we have your permission to test like the affected user?"", ""Can you confirm if we can test in the affected user?"", ""Please confirm we have permission for testing as affected user?""]",Could you please confirm whether we have your permission to test as the affected user?,"A opção correta usa 'test as the affected user', que é natural em suporte.",csv:request-info
Você precisa pedir a data e hora em que o problema ocorreu.,"[""Could you please provide the date and time when the issue occurred?"", ""Could you please provide the date and hour that the issue happened?"", ""Can you provide when the issue was occurred?"", ""Please provide the date and time where the issue occurred?""]",Could you please provide the date and time when the issue occurred?,Usamos 'when the issue occurred'. Não usamos 'was occurred'.,csv:request-info
Você precisa pedir os passos para reproduzir o problema.,"[""Could you please provide the exact steps you followed to reproduce the issue?"", ""Could you please provide the exactly steps you followed to reproduce the issue?"", ""Can you provide the steps that you did to reproduce the issue?"", ""Could you please provide the exact steps that you follow to reproduce the issue?""]",Could you please provide the exact steps you followed to reproduce the issue?,A opção correta usa 'exact steps' e passado simples 'followed'.,csv:request-info
Você quer informar que vai investigar internamente.,"[""I will investigate this internally and get back to you as soon as I have an update."", ""I will investigate this internal and return to you when I have update."", ""I will check this inside and come back when I have news."", ""I will investigate internally and back to you once I have update.""]",I will investigate this internally and get back to you as soon as I have an update.,"A frase correta usa 'internally', 'get back to you' e 'an update' de forma natural.",csv:case-update
Você quer dizer que ainda está investigando o caso.,"[""I am still investigating this case and will update you as soon as possible."", ""I still investigating this case and will update you soon."", ""I am still investigate this case and will update you as soon as possible."", ""I am still checking this case and will return you soon.""]",I am still investigating this case and will update you as soon as possible.,Use 'I am still investigating' para uma ação em andamento.,csv:case-update
Você quer avisar que está revisando os logs.,"[""I am reviewing the logs to better understand what happened."", ""I am reviewing the logs to better understand what did happen."", ""I am checking the logs for understand better what happened."", ""I am validating the logs to know what happened better.""]",I am reviewing the logs to better understand what happened.,A opção correta é natural: 'to better understand what happened'.,csv:case-update
Você quer dizer que precisa de mais tempo para concluir a análise.,"[""I need some additional time to complete my analysis."", ""I need more time for complete my analysis."", ""I need additional time to finish with my analyze."", ""I need more time to conclude my analyse.""]",I need some additional time to complete my analysis.,Usamos 'complete my analysis'. 'Analysis' é o substantivo correto.,csv:case-update
Você quer informar que vai atualizar o cliente assim que possível.,"[""I will update you as soon as possible."", ""I will update you soonest possible."", ""I will update to you as soon as possible."", ""I will return you as soon as possible.""]",I will update you as soon as possible.,"A forma correta é 'update you', sem 'to'.",csv:case-update
Você quer agradecer pela paciência do cliente enquanto investiga.,"[""Thank you for your patience while I continue investigating this issue."", ""Thank you for your patience while I continue to investigate this issue."", ""Thanks for your patient while I continue investigating this issue."", ""Thank you by your patience while I continue investigating this issue.""]",Thank you for your patience while I continue investigating this issue.,"A primeira e a segunda são possíveis, mas a opção correta é mais natural e concisa. 'Patience' é o substantivo.",csv:case-update
Você quer dizer que o erro ocorre durante a postagem no sistema externo.,"[""The error occurs during the posting process in the external system."", ""The error happens during the post process on the external system."", ""The error occurs during the posting in external system."", ""The error happen during the external system posting process.""]",The error occurs during the posting process in the external system.,A opção correta usa 'posting process in the external system' e concordância correta.,csv:systems
Você quer dizer que a falha parece relacionada à validação do sistema externo.,"[""The failure appears to be related to a validation in the external system."", ""The failure appears related with a validation on the external system."", ""The failure looks related to a validation in the platform team."", ""The failure seems related with the external system validation.""]",The failure appears to be related to a validation in the external system.,A opção correta usa 'related to' e evita 'platform team'.,csv:systems
Você precisa dizer que o time de suporte da plataforma deve revisar o erro.,"[""The the platform support team should review this error further."", ""The platform team should review this error further."", ""The the platform support team should to review this error further."", ""The the platform support team should reviews this error further.""]",The the platform support team should review this error further.,"Depois de 'should', usamos o verbo base: 'should review'.",csv:systems
Você precisa dizer que o payload JSON está enviando o valor corretamente.,"[""The JSON payload is sending the value correctly."", ""The JSON payload is sending correctly the value."", ""The JSON is sending the value correct."", ""The JSON payload are sending the value correctly.""]",The JSON payload is sending the value correctly.,A opção correta usa advérbio 'correctly' e concordância singular.,csv:systems
Você quer dizer que não encontrou o valor esperado no JSON.,"[""I could not find the expected value in the JSON payload."", ""I could not found the expected value in the JSON payload."", ""I did not finded the expected value in the JSON payload."", ""I could not find the value expected on the JSON payload.""]",I could not find the expected value in the JSON payload.,"Depois de 'could not', usamos o verbo base: 'find'.",csv:systems
Você quer pedir ao cliente para abrir um escalation ticket com o time da plataforma.,"[""Please open an escalation ticket with platform support under component INT-DATA-SYNC."", ""Please open an escalation ticket to platform support in the component INT-DATA-SYNC."", ""Please raise one escalation ticket with platform team under INT-DATA-SYNC."", ""Please open an escalation ticket for the component INT-DATA-SYNC with platform team.""]",Please open an escalation ticket with platform support under component INT-DATA-SYNC.,"A opção correta é clara, profissional e usa 'under component'.",csv:systems
Você quer explicar que o nosso suporte não tem acesso ao sistema externo do cliente.,"[""Our support team does not have access to the customer's external system."", ""Our support team does not has access to the customer's external system."", ""Our support team does not have access in the customer's external system."", ""Our support team has no access on customer's external system.""]",Our support team does not have access to the customer's external system.,"Com 'does not', usamos 'have'. A preposição natural é 'access to'.",csv:systems
Você quer dizer que a configuração precisa ser validada no sistema externo.,"[""This configuration needs to be validated in the external system."", ""This configuration needs to be validate in the external system."", ""This configuration need to be validated on the external system."", ""This setup needs be validated in the external system.""]",This configuration needs to be validated in the external system.,A estrutura correta é 'needs to be validated'.,csv:systems
Você quer reconhecer o problema reportado pelo cliente.,"[""I understand that you are experiencing an issue with this process."", ""I understand that you are having an issue in this process."", ""I understood that you are experiencing an issue with this process."", ""I understand you are with an issue in this process.""]",I understand that you are experiencing an issue with this process.,"Em suporte, 'I understand that you are experiencing an issue' é natural e profissional.",csv:tone
Você quer pedir desculpas pelo transtorno.,"[""I apologize for the inconvenience this has caused."", ""I apologize by the inconvenience this has caused."", ""I am sorry for the inconvenient this has caused."", ""I apologize for the inconvenient caused by this.""]",I apologize for the inconvenience this has caused.,Usamos 'apologize for' e o substantivo correto é 'inconvenience'.,csv:tone
Você quer agradecer ao cliente pelas informações enviadas.,"[""Thank you for providing the requested information."", ""Thank you for provide the requested information."", ""Thank you by providing the requested information."", ""Thanks for providing the informations requested.""]",Thank you for providing the requested information.,"Depois de 'for', usamos verbo com -ing. 'Information' é incontável.",csv:tone
Você quer dizer que as informações ajudaram na análise.,"[""This information helped us move forward with the analysis."", ""These information helped us move forward with the analysis."", ""This information helped us to move with the analyze."", ""This informations helped us continue the analysis.""]",This information helped us move forward with the analysis.,'Information' é singular/incontável em inglês.,csv:tone
Você quer encerrar de forma educada depois de resolver o caso.,"[""Please let me know if you need any further assistance with this case."", ""Please let me know if you need any further assist with this case."", ""Please let me know if you need more assistance for this case."", ""Please let me know if you need some further assistance in this case.""]",Please let me know if you need any further assistance with this case.,A opção correta usa 'further assistance with this case'.,csv:tone
Você quer dizer que ficará feliz em ajudar.,"[""I will be happy to assist you further."", ""I will be happy to assist you more."", ""I am happy for assist you further."", ""I will happy to assist you further.""]",I will be happy to assist you further.,A forma correta é 'I will be happy to assist you further'.,csv:tone
Você quer dizer que o caso foi encaminhado para o time correto.,"[""This case has been routed to the appropriate team for further review."", ""This case has routed to the appropriate team for further review."", ""This case was routed for the appropriate team to further review."", ""This case has been routed to the correct team for more revision.""]",This case has been routed to the appropriate team for further review.,A opção correta usa voz passiva: 'has been routed to'.,csv:routing
Você quer dizer que a solicitação está fora do escopo do suporte.,"[""This request is outside the scope of Our support team."", ""This request is out of the scope from Our support team."", ""This request is outside from the scope of Our support team."", ""This request is not in the scope for Our support team.""]",This request is outside the scope of Our support team.,A expressão natural é 'outside the scope of'.,csv:scope
Você quer dizer que a mudança exige assistência de configuração.,"[""This change requires assistance from the Configuration team."", ""This change requires assistance of the Configuration team."", ""This change needs help from Configuration team."", ""This change require assistance from the Configuration team.""]",This change requires assistance from the Configuration team.,A opção correta usa 'requires assistance from' e artigo 'the Configuration team'.,csv:scope
Você quer dizer que não pode realizar a alteração diretamente.,"[""I am not able to make this change directly from my side."", ""I am not able to do this change directly from my side."", ""I cannot perform this change direct from my side."", ""I am not able to make directly this change from my side.""]",I am not able to make this change directly from my side.,Usamos 'make this change' para alterações de configuração.,csv:scope
Você quer explicar que precisa validar internamente antes de confirmar.,"[""I need to validate this internally before confirming the next steps."", ""I need validate this internally before confirm the next steps."", ""I need to validate this internal before confirming the next steps."", ""I need to check internally before to confirm the next steps.""]",I need to validate this internally before confirming the next steps.,A opção correta usa 'need to validate' e 'before confirming'.,csv:scope
Você precisa pedir o impacto no negócio.,"[""Could you please clarify the business impact of this issue?"", ""Could you please clarify the business impact from this issue?"", ""Can you clarify what is the impact business of this issue?"", ""Could you please clarify the business impact about this issue?""]",Could you please clarify the business impact of this issue?,A expressão correta é 'business impact of this issue'.,csv:impact
Você precisa perguntar quantos usuários foram afetados.,"[""Could you please confirm how many users are affected?"", ""Could you please confirm how much users are affected?"", ""Can you confirm how many users were impacted by this?"", ""Could you confirm how many users is affected?""]",Could you please confirm how many users are affected?,"Para contáveis, usamos 'how many'. A opção correta também usa 'are affected'.",csv:impact
Você precisa perguntar se há workaround disponível.,"[""Could you please confirm whether there is any available workaround?"", ""Could you please confirm if has any available workaround?"", ""Can you confirm whether there has any workaround available?"", ""Could you please confirm if there are some workaround available?""]",Could you please confirm whether there is any available workaround?,A estrutura correta é 'whether there is'.,csv:impact
Você quer dizer que entendeu a urgência.,"[""I understand the urgency of this issue."", ""I understand the urgency from this issue."", ""I understood the urgency of this issue."", ""I understand this issue urgency.""]",I understand the urgency of this issue.,A expressão natural é 'the urgency of this issue'.,csv:impact
Você quer pedir exemplos adicionais para confirmar o impacto.,"[""Could you please provide additional examples so we can confirm the impact?"", ""Could you please provide additional examples for we confirm the impact?"", ""Can you provide more examples to us confirm the impact?"", ""Could you please provide additional examples so we can to confirm the impact?""]",Could you please provide additional examples so we can confirm the impact?,"Depois de 'so we can', usamos verbo base: 'confirm'.",csv:impact
"Você quer dizer 'assim que eu tiver uma atualização, aviso você'.","[""As soon as I have an update, I will let you know."", ""As soon as I will have an update, I will let you know."", ""When I will have an update, I will let you know."", ""As soon I have an update, I will inform you.""]","As soon as I have an update, I will let you know.","Depois de 'as soon as' para futuro, usamos presente simples: 'I have'.",csv:phrases
Você quer dizer 'obrigado por trazer isso à nossa atenção'.,"[""Thank you for bringing this to our attention."", ""Thank you for bring this to our attention."", ""Thank you for bringing this at our attention."", ""Thank you to bring this to our attention.""]",Thank you for bringing this to our attention.,A frase correta é uma expressão comum em suporte: 'bringing this to our attention'.,csv:phrases
Você quer dizer 'vou manter você informado'.,"[""I will keep you updated."", ""I will keep you update."", ""I will maintain you updated."", ""I will keep updated you.""]",I will keep you updated.,A expressão natural é 'keep you updated'.,csv:phrases
Você quer dizer 'deixe-me verificar isso'.,"[""Let me check this for you."", ""Let me to check this for you."", ""Let me verify this to you."", ""Let me check it for you this.""]",Let me check this for you.,"Depois de 'let me', usamos o verbo base: 'check'.",csv:phrases
Você quer dizer 'vou acompanhar este caso'.,"[""I will continue following up on this case."", ""I will continue follow up this case."", ""I will continue following this case up."", ""I will keep follow this case.""]",I will continue following up on this case.,A expressão correta é 'follow up on this case'.,csv:phrases
Você precisa dizer que conseguiu reproduzir o problema.,"[""I was able to reproduce the issue."", ""I could reproduce the issue."", ""I was able to reproduce with the issue."", ""I reproduced the issue successfully.""]",I was able to reproduce the issue.,A opção mais natural em suporte é 'I was able to reproduce the issue'.,csv:troubleshooting
Você precisa dizer que não conseguiu reproduzir o problema.,"[""I was not able to reproduce the issue on my side."", ""I could not reproduce the issue in my side."", ""I was not able to reproduce the issue from my side."", ""I cannot reproduce the issue on my side yesterday.""]",I was not able to reproduce the issue on my side.,A opção correta usa 'on my side'.,csv:troubleshooting
Você quer pedir ao cliente para testar novamente.,"[""Could you please test again and confirm whether the issue still occurs?"", ""Could you please test again and confirm if the issue still happen?"", ""Can you test again and confirm whether the issue still occurs?"", ""Could you test again and confirm the issue still occurring?""]",Could you please test again and confirm whether the issue still occurs?,A opção correta é educada e usa 'still occurs'.,csv:troubleshooting
Você quer dizer que fez um teste e o comportamento foi o esperado.,"[""I tested this scenario and the behavior was as expected."", ""I tested this scenario and the behavior was how expected."", ""I made a test in this scenario and the behavior was expected."", ""I tested this scenery and the behavior was as expected.""]",I tested this scenario and the behavior was as expected.,A expressão correta é 'as expected'.,csv:troubleshooting
Você quer pedir para o cliente limpar cache e tentar novamente.,"[""Could you please clear your browser cache and try again?"", ""Could you please clean your browser cache and try again?"", ""Can you clear the cache of your browser and try again?"", ""Could you please clear your browser cash and try again?""]",Could you please clear your browser cache and try again?,A frase mais natural é 'clear your browser cache'.,csv:troubleshooting
Você quer dizer que o problema foi resolvido.,"[""I am glad to hear that the issue has been resolved."", ""I am glad to hear that the issue was solved."", ""I am happy to hear that the problem has resolved."", ""I am glad hearing that the issue has been resolved.""]",I am glad to hear that the issue has been resolved.,"A opção correta usa 'has been resolved', comum em suporte.",csv:closure
Você quer dizer que o cliente pode fechar o caso.,"[""You may close the case, or let me know if you would like me to close it for you."", ""You can close the case, or tell me if you want I close it for you."", ""You may close the case or advise me if you want me close it."", ""You can close the case or notify me to close for you.""]","You may close the case, or let me know if you would like me to close it for you.",A opção correta é educada e natural.,csv:closure
Você quer dizer que o caso será fechado se não houver mais dúvidas.,"[""If there are no further questions, I will proceed with closing this case."", ""If there is no further questions, I will proceed closing this case."", ""If there are no more doubts, I will close this case."", ""If no further questions, I will proceed to close this case.""]","If there are no further questions, I will proceed with closing this case.","Em inglês profissional, usamos 'questions', não 'doubts', nesse contexto.",csv:closure
Você quer agradecer a cooperação do cliente.,"[""Thank you for your cooperation."", ""Thank you by your cooperation."", ""Thanks for your cooperations."", ""Thank you for your collaboration in this.""]",Thank you for your cooperation.,A expressão padrão é 'Thank you for your cooperation'.,csv:closure
Você quer escrever uma frase profissional para iniciar uma resposta.,"[""Thank you for contacting Our support team."", ""Thank you for contact Our support team."", ""Thanks to contact Our support team."", ""Thank you to contacting Our support team.""]",Thank you for contacting Our support team.,"Depois de 'thank you for', usamos verbo com -ing.",csv:email
Você quer dizer que foi designado para o caso.,"[""I have been assigned to your case and will be happy to assist you."", ""I was assigned in your case and will be happy to assist you."", ""I have assigned to your case and will be happy to assist you."", ""I have been assigned on your case and happy to assist.""]",I have been assigned to your case and will be happy to assist you.,A forma correta é 'have been assigned to your case'.,csv:email
Você quer dizer que está revisando os detalhes do caso.,"[""I am reviewing the case details and will follow up shortly."", ""I am reviewing the details of the case and will follow shortly."", ""I am checking the case details and will make a follow up shortly."", ""I am reviewing the case details and will return shortly.""]",I am reviewing the case details and will follow up shortly.,A opção correta é natural e profissional.,csv:email
Você quer dizer que precisa envolver outro time.,"[""I may need to involve another team to review this further."", ""I may need involve another team to review this further."", ""I may need to involve other team to review this more."", ""I may need to engage another team for review this further.""]",I may need to involve another team to review this further.,"Depois de 'need', usamos 'to involve'.",csv:email
Você quer dizer que vai acompanhar internamente.,"[""I will follow up internally and update you once I have more information."", ""I will follow internally and update you once I have more information."", ""I will follow up internal and update you when I have more informations."", ""I will make follow up internally and update you once I have more information.""]",I will follow up internally and update you once I have more information.,A opção correta usa 'follow up internally' e 'information' sem plural.,csv:email
Você precisa pedir o ID do relatório de despesas.,"[""Could you please provide the Expense Report ID?"", ""Could you please provide the Expense Report identification?"", ""Can you send me the Report ID of Expense?"", ""Could you please provide the ID from the expense report?""]",Could you please provide the Expense Report ID?,A forma mais direta e comum é 'Expense Report ID'.,csv:request-info
Você precisa pedir o usuário afetado.,"[""Could you please provide the affected user's login ID?"", ""Could you please provide the affected user login ID?"", ""Can you provide the login ID from the affected user?"", ""Could you please provide the affected user's login?""]",Could you please provide the affected user's login ID?,A forma correta usa possessivo: 'affected user's login ID'.,csv:request-info
Você precisa pedir se o problema ocorre para todos os usuários.,"[""Could you please confirm whether this issue occurs for all users or only specific users?"", ""Could you please confirm if this issue occurs to all users or only specific users?"", ""Can you confirm whether this issue happens for all users or only specifics users?"", ""Could you confirm if this issue occur for all users or specific users?""]",Could you please confirm whether this issue occurs for all users or only specific users?,A frase correta usa 'occurs for all users' e 'specific users'.,csv:impact
Você precisa pedir se o problema acontece em produção ou teste.,"[""Could you please confirm whether this occurs in production or in the test environment?"", ""Could you please confirm if this occurs on production or test environment?"", ""Can you confirm whether this happens in productive or test?"", ""Could you please confirm if it occurs at production or testing environment?""]",Could you please confirm whether this occurs in production or in the test environment?,A opção correta usa 'in production' e 'in the test environment'.,csv:request-info
Você quer dizer que vai validar a configuração.,"[""I will validate the configuration and update you with my findings."", ""I will validate the configuration and update you with my founds."", ""I will validate the setup and return you with my findings."", ""I will validate configuration and update with my findings.""]",I will validate the configuration and update you with my findings.,A expressão profissional é 'update you with my findings'.,csv:case-update
Você quer dizer que encontrou uma inconsistência de configuração.,"[""I found a configuration inconsistency that may be causing this behavior."", ""I found a configuration inconsistence that may be causing this behavior."", ""I found an inconsistent configuration that can be causing this behavior."", ""I found a setup inconsistency which may be causing this behavior.""]",I found a configuration inconsistency that may be causing this behavior.,A opção correta é natural e usa 'configuration inconsistency'.,csv:troubleshooting
Você quer dizer que o relatório precisa ser reenviado após a correção.,"[""The report may need to be resubmitted after the configuration is corrected."", ""The report may need to be submitted again after the configuration is corrected."", ""The report may need be resubmitted after the configuration is correct."", ""The report may need to resubmit after the configuration is corrected.""]",The report may need to be resubmitted after the configuration is corrected.,A opção correta usa voz passiva: 'may need to be resubmitted'.,csv:troubleshooting
Você quer dizer que a alteração não afeta relatórios já criados.,"[""This change may not apply to reports that were already created."", ""This change may not apply for reports that were already created."", ""This change may not be applied to reports already created before."", ""This change cannot apply in reports that were already created.""]",This change may not apply to reports that were already created.,A preposição correta é 'apply to'.,csv:scope
Você quer dizer que o cliente deve criar um novo relatório para testar.,"[""Could you please create a new report and test the behavior again?"", ""Could you please create a new report and test again the behavior?"", ""Can you create one new report and test the behavior again?"", ""Could you please create a new report for test the behavior again?""]",Could you please create a new report and test the behavior again?,A opção correta é natural e educada.,csv:troubleshooting
Você quer dizer que o erro foi retornado pelo sistema externo.,"[""This error was returned by the external system system."", ""This error was returned from the external system system."", ""This error returned by the external system system."", ""This error was returning by the external system system.""]",This error was returned by the external system system.,A opção correta usa voz passiva: 'was returned by'.,csv:systems
Você quer dizer que a integração enviou o documento para o sistema externo.,"[""The integration sent the document to the external system successfully."", ""The integration has sent successfully the document to the external system."", ""The integration sent the document for the external system successfully."", ""The integration send the document to the external system successfully.""]",The integration sent the document to the external system successfully.,A opção correta usa passado simples e 'to the external system'.,csv:systems
Você quer dizer que o documento foi reconhecido pelo sistema externo.,"[""The document was acknowledged by the external system."", ""The document was recognized from the external system."", ""The document was acknowledged from external system."", ""The document has acknowledged by the external system.""]",The document was acknowledged by the external system.,A forma correta é 'was acknowledged by'.,csv:systems
Você quer dizer que a confirmação de pagamento não sincronizou para o aplicativo de origem.,"[""The payment confirmation did not sync back to the source application."", ""The payment confirmation did not synchronized back to the source application."", ""The payment confirmation was not sync back to the source application."", ""The payment confirmation did not sync to the source application back.""]",The payment confirmation did not sync back to the source application.,"Depois de 'did not', usamos verbo base: 'sync'.",csv:systems
Você quer dizer que precisa confirmar se o job está rodando no sistema externo.,"[""Please confirm whether the payment status job is running in the external system."", ""Please confirm if the payment status job is running on the external system."", ""Please confirm if the job of payment status is running in the external system."", ""Please confirm whether the payment status job are running in the external system.""]",Please confirm whether the payment status job is running in the external system.,A opção correta é natural e usa 'is running'.,csv:systems
Você quer dizer que o erro não está relacionado ao payload enviado pelo the source application.,"[""This error does not appear to be related to the payload sent by the source application."", ""This error does not appear related with the payload sent by the source application."", ""This error is not appearing to be related with the payload sent by the source application."", ""This error does not look related to the payload that the source application sent.""]",This error does not appear to be related to the payload sent by the source application.,A opção correta usa 'related to' e soa profissional.,csv:systems
Você quer dizer que vai anexar o artigo de referência ao caso.,"[""I will attach the reference article to this case."", ""I will attach the article reference in this case."", ""I will anex the reference article to this case."", ""I will attach the reference article on this case.""]",I will attach the reference article to this case.,A opção correta usa 'attach ... to this case'.,csv:email
Você quer dizer que o artigo explica o comportamento esperado.,"[""The article explains the expected behavior."", ""The article explain the expected behavior."", ""The article explains about the expected behavior."", ""The article explains the behavior expected.""]",The article explains the expected behavior.,A opção correta é simples e direta.,csv:email
